pop ind_index status phen migr_rate mut_rate recomb_rate fitness_width output_gen rep
0 0 F 0.235387 0.001 1e-06 1e-06 5 2500 0
0 1 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 2 F 0.237336 0.001 1e-06 1e-06 5 2500 0
0 3 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 4 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 5 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 6 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 7 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 8 F 0.235387 0.001 1e-06 1e-06 5 2500 0
0 9 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 10 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 11 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 12 F 0.199348 0.001 1e-06 1e-06 5 2500 0
0 13 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 14 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 15 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 16 F 0.187875 0.001 1e-06 1e-06 5 2500 0
0 17 F 0.221597 0.001 1e-06 1e-06 5 2500 0
0 18 F 0.195554 0.001 1e-06 1e-06 5 2500 0
0 19 F 0.205997 0.001 1e-06 1e-06 5 2500 0
0 20 F 0.214083 0.001 1e-06 1e-06 5 2500 0
0 21 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 22 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 23 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 24 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 25 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 26 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 27 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 28 F 0.264915 0.001 1e-06 1e-06 5 2500 0
0 29 F 0.337395 0.001 1e-06 1e-06 5 2500 0
0 30 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 31 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 32 F 0.337395 0.001 1e-06 1e-06 5 2500 0
0 33 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 34 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 35 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 36 F 0.251126 0.001 1e-06 1e-06 5 2500 0
0 37 F 0.144991 0.001 1e-06 1e-06 5 2500 0
0 38 F 0.149118 0.001 1e-06 1e-06 5 2500 0
0 39 F 0.227031 0.001 1e-06 1e-06 5 2500 0
0 40 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 41 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 42 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 43 F 0.23126 0.001 1e-06 1e-06 5 2500 0
0 44 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 45 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 46 F 0.294076 0.001 1e-06 1e-06 5 2500 0
0 47 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 48 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 49 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 50 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 51 F 0.213138 0.001 1e-06 1e-06 5 2500 0
0 52 F 0.21747 0.001 1e-06 1e-06 5 2500 0
0 53 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 54 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 55 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 56 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 57 F 0.199348 0.001 1e-06 1e-06 5 2500 0
0 58 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 59 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 60 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 61 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 62 F 0.0858671 0.001 1e-06 1e-06 5 2500 0
0 63 F 0.138813 0.001 1e-06 1e-06 5 2500 0
0 64 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 65 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 66 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 67 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 68 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 69 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 70 F 0.294076 0.001 1e-06 1e-06 5 2500 0
0 71 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 72 F 0.221597 0.001 1e-06 1e-06 5 2500 0
0 73 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 74 F 0.221597 0.001 1e-06 1e-06 5 2500 0
0 75 F 0.243612 0.001 1e-06 1e-06 5 2500 0
0 76 F 0.154552 0.001 1e-06 1e-06 5 2500 0
0 77 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 78 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 79 F 0.213138 0.001 1e-06 1e-06 5 2500 0
0 80 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 81 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 82 F 0.294076 0.001 1e-06 1e-06 5 2500 0
0 83 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 84 F 0.142608 0.001 1e-06 1e-06 5 2500 0
0 85 F 0.213138 0.001 1e-06 1e-06 5 2500 0
0 86 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 87 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 88 F 0.178646 0.001 1e-06 1e-06 5 2500 0
0 89 F 0.264915 0.001 1e-06 1e-06 5 2500 0
0 90 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 91 F 0.144991 0.001 1e-06 1e-06 5 2500 0
0 92 F 0.211292 0.001 1e-06 1e-06 5 2500 0
0 93 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 94 F 0.228877 0.001 1e-06 1e-06 5 2500 0
0 95 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 96 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 97 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 98 F 0.221597 0.001 1e-06 1e-06 5 2500 0
0 99 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 100 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 101 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 102 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 103 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 104 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 105 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 106 F 0.199348 0.001 1e-06 1e-06 5 2500 0
0 107 F 0.294076 0.001 1e-06 1e-06 5 2500 0
0 108 F 0.201665 0.001 1e-06 1e-06 5 2500 0
0 109 F 0.244616 0.001 1e-06 1e-06 5 2500 0
0 110 F 0.251126 0.001 1e-06 1e-06 5 2500 0
0 111 F 0.221597 0.001 1e-06 1e-06 5 2500 0
0 112 F 0.221597 0.001 1e-06 1e-06 5 2500 0
0 113 F 0.251126 0.001 1e-06 1e-06 5 2500 0
0 114 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 115 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 116 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 117 F 0.337395 0.001 1e-06 1e-06 5 2500 0
0 118 F 0.0618755 0.001 1e-06 1e-06 5 2500 0
0 119 F 0.107475 0.001 1e-06 1e-06 5 2500 0
0 120 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 121 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 122 F 0.211292 0.001 1e-06 1e-06 5 2500 0
0 123 F 0.213138 0.001 1e-06 1e-06 5 2500 0
0 124 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 125 F 0.240821 0.001 1e-06 1e-06 5 2500 0
0 126 F 0.126869 0.001 1e-06 1e-06 5 2500 0
0 127 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 128 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 129 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 130 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 131 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 132 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 133 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 134 F 0.183609 0.001 1e-06 1e-06 5 2500 0
0 135 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 136 F 0.21747 0.001 1e-06 1e-06 5 2500 0
0 137 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 138 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 139 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 140 F 0.307866 0.001 1e-06 1e-06 5 2500 0
0 141 F 0.190259 0.001 1e-06 1e-06 5 2500 0
0 142 F 0.154552 0.001 1e-06 1e-06 5 2500 0
0 143 F 0.195554 0.001 1e-06 1e-06 5 2500 0
0 144 F 0.205858 0.001 1e-06 1e-06 5 2500 0
0 145 F 0.126869 0.001 1e-06 1e-06 5 2500 0
0 146 F 0.227031 0.001 1e-06 1e-06 5 2500 0
0 147 F 0.235387 0.001 1e-06 1e-06 5 2500 0
0 148 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 149 F 0.292127 0.001 1e-06 1e-06 5 2500 0
0 150 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 151 F 0.278337 0.001 1e-06 1e-06 5 2500 0
0 152 F 0.321656 0.001 1e-06 1e-06 5 2500 0
0 153 F 0.178646 0.001 1e-06 1e-06 5 2500 0
0 154 F 0.262599 0.001 1e-06 1e-06 5 2500 0
0 155 F 0.262599 0.001 1e-06 1e-06 5 2500 0
